Accuracy,Precision,Recall,F1-score
0.8513513513513513,0.0,0.0,0.0
0.8445945945945946,0.16666666666666666,0.05263157894736842,0.08
0.8581081081081081,0.25,0.05263157894736842,0.08695652173913043
0.8513513513513513,0.36363636363636365,0.21052631578947367,0.26666666666666666
0.8581081081081081,0.0,0.0,0.0
0.8648648648648649,0.42857142857142855,0.15789473684210525,0.23076923076923078
0.831081081081081,0.2,0.10526315789473684,0.13793103448275862
0.831081081081081,0.0,0.0,0.0
0.8851351351351351,1.0,0.10526315789473684,0.19047619047619047
0.8378378378378378,0.2222222222222222,0.10526315789473684,0.14285714285714285
0.8851351351351351,1.0,0.10526315789473684,0.19047619047619047
0.8581081081081081,0.25,0.05263157894736842,0.08695652173913043
0.8581081081081081,0.25,0.05263157894736842,0.08695652173913043
0.8851351351351351,1.0,0.10526315789473684,0.19047619047619047
0.8648648648648649,0.0,0.0,0.0
0.8581081081081081,0.25,0.05263157894736842,0.08695652173913043
0.8513513513513513,0.0,0.0,0.0
0.8581081081081081,0.25,0.05263157894736842,0.08695652173913043
0.8648648648648649,0.3333333333333333,0.05263157894736842,0.09090909090909091
0.8581081081081081,0.0,0.0,0.0
0.8581081081081081,0.3333333333333333,0.10526315789473684,0.16
0.8513513513513513,0.3333333333333333,0.15789473684210525,0.21428571428571427
0.8648648648648649,0.4,0.10526315789473684,0.16666666666666666
0.8445945945945946,0.16666666666666666,0.05263157894736842,0.08
0.8648648648648649,0.4,0.10526315789473684,0.16666666666666666
0.8581081081081081,0.3333333333333333,0.10526315789473684,0.16
0.8581081081081081,0.0,0.0,0.0
0.8783783783783784,0.6,0.15789473684210525,0.25
0.8648648648648649,0.4,0.10526315789473684,0.16666666666666666
0.8581081081081081,0.3333333333333333,0.10526315789473684,0.16
